Zip,City,State,Lat,Long
01436,BALDWINVILLE,MA,42.60506894,-72.07049513
01440,GARDNER,MA,42.5748568,-71.9913647
01450,GROTON,MA,42.6112854,-71.560301
01451,HARVARD,MA,42.50056918,-71.57679614
01452,HUBBARDSTON,MA,42.48775993,-72.00125743
01453,LEOMINSTER,MA,42.52656381,-71.75448635
01460,LITTLETON,MA,42.53896757,-71.48384928
01462,LUNENBURG,MA,42.5868177,-71.72736449
01463,PEPPERELL,MA,42.66914413,-71.59312894
01464,SHIRLEY,MA,42.56525922,-71.64696363
01468,TEMPLETON,MA,42.55481366,-72.06266493
01469,TOWNSEND,MA,42.65729497,-71.69274818
01473,WESTMINSTER,MA,42.55046549,-71.90400562
01474,WEST TOWNSEND,MA,42.67129894,-71.74629302
01475,WINCHENDON,MA,42.67757731,-72.04714043
01501,AUBURN,MA,42.20455458,-71.8385056
01503,BERLIN,MA,42.37910889,-71.63025126
01504,BLACKSTONE,MA,42.0292841,-71.52693086
01505,BOYLSTON,MA,42.3393373,-71.7275775
01506,BROOKFIELD,MA,42.19416411,-72.10104054
01507,CHARLTON,MA,42.13894834,-71.96444661
01510,CLINTON,MA,42.41770302,-71.68038427
01515,EAST BROOKFIELD,MA,42.21461734,-72.04762735
01516,DOUGLAS,MA,42.05765539,-71.72876098
01518,FISKDALE,MA,42.1230804,-72.11477011
01519,GRAFTON,MA,42.19931373,-71.68733135
01520,HOLDEN,MA,42.33872597,-71.84197639
01521,HOLLAND,MA,42.05524173,-72.15881562
01522,JEFFERSON,MA,42.37621671,-71.86792517
01523,LANCASTER,MA,42.46033965,-71.68878335
01524,LEICESTER,MA,42.23902828,-71.91812129
01527,MILLBURY,MA,42.19722417,-71.76367617
01529,MILLVILLE,MA,42.033922,-71.57950492
01531,NEW BRAINTREE,MA,42.32046657,-72.12589584
01532,NORTHBOROUGH,MA,42.31838464,-71.64612894
01534,NORTHBRIDGE,MA,42.14745825,-71.65369339
01535,NORTH BROOKFIELD,MA,42.2667366,-72.08112961
01536,NORTH GRAFTON,MA,42.22791696,-71.70202951
01537,NORTH OXFORD,MA,42.17018877,-71.89342589
01540,OXFORD,MA,42.1149803,-71.86773682
01541,PRINCETON,MA,42.45277759,-71.87588738
01542,ROCHDALE,MA,42.19990909,-71.90704168
01543,RUTLAND,MA,42.3773974,-71.95195903
01545,SHREWSBURY,MA,42.28262906,-71.71790409
01550,SOUTHBRIDGE,MA,42.07442666,-72.0333581
01560,SOUTH GRAFTON,MA,42.17489611,-71.68111431
01562,SPENCER,MA,42.24470315,-71.98893179
01564,STERLING,MA,42.43816056,-71.76820836
01566,STURBRIDGE,MA,42.10879713,-72.07752637
01568,UPTON,MA,42.17106849,-71.60841232
01569,UXBRIDGE,MA,42.07238028,-71.63246537
01570,WEBSTER,MA,42.04803164,-71.86500082
01571,DUDLEY,MA,42.05012984,-71.91544879
01581,WESTBOROUGH,MA,42.26965609,-71.61859776
01583,WEST BOYLSTON,MA,42.36188575,-71.78457224
01585,WEST BROOKFIELD,MA,42.23573579,-72.15913102
01588,WHITINSVILLE,MA,42.11626223,-71.66445826
01590,SUTTON,MA,42.14516969,-71.74174728
01602,WORCESTER,MA,42.27020657,-71.84339352
01603,WORCESTER,MA,42.24461273,-71.83795152
01604,WORCESTER,MA,42.25389655,-71.77243414
01605,WORCESTER,MA,42.28937675,-71.7888588
01606,WORCESTER,MA,42.31350006,-71.79503473
01607,WORCESTER,MA,42.22968085,-71.79591146
01608,WORCESTER,MA,42.26192866,-71.80122733
01609,WORCESTER,MA,42.27484431,-71.81748107
01610,WORCESTER,MA,42.24999064,-71.80953885
01611,CHERRY VALLEY,MA,42.23724066,-71.87336773
01612,PAXTON,MA,42.3048199,-71.92081926
01701,FRAMINGHAM,MA,42.31954291,-71.42463031
01702,FRAMINGHAM,MA,42.28336189,-71.42536338
01718,ACTON,MA,42.5190008,-71.42791173
01719,BOXBOROUGH,MA,42.48768565,-71.51897326
01720,ACTON,MA,42.48428915,-71.44010425
01721,ASHLAND,MA,42.25383612,-71.45894164
01730,BEDFORD,MA,42.49602231,-71.27393539
01731,HANSCOM AFB,MA,42.45291329,-71.2805533
01740,BOLTON,MA,42.43692557,-71.60686206
01741,CARLISLE,MA,42.52816138,-71.35275664
01742,CONCORD,MA,42.45640428,-71.37692399
01745,FAYVILLE,MA,42.29181141,-71.5029211
01746,HOLLISTON,MA,42.20239242,-71.43802254
01747,HOPEDALE,MA,42.12605385,-71.53640555
